datetime,hour,co,benzene,nox,no2,temp,humidity
2004-03-11 17:00:00,17,2.9,11.2,243.0,135.0,9.8,67.6
2004-03-11 18:00:00,18,4.8,20.8,281.0,151.0,10.3,64.2
2004-03-11 19:00:00,19,6.9,27.4,383.0,172.0,9.7,69.3
2004-03-11 20:00:00,20,6.1,24.0,351.0,165.0,9.6,67.8
2004-03-11 21:00:00,21,3.9,12.8,240.0,136.0,9.1,64.0
2004-03-11 22:00:00,22,1.5,4.7,94.0,85.0,8.2,63.4
2004-03-11 23:00:00,23,1.0,2.6,47.0,53.0,8.2,60.8
2004-03-12 00:00:00,0,1.7,5.9,122.0,97.0,8.3,58.5
2004-03-12 01:00:00,1,1.9,6.4,133.0,110.0,7.7,59.7
2004-03-12 02:00:00,2,1.4,4.1,82.0,91.0,7.1,61.8
2004-03-12 03:00:00,3,0.8,1.9,33.33333,47.66667,7.0,62.3
2004-03-12 04:00:00,4,0.56667,1.1,21.0,32.0,6.1,65.9
2004-03-12 05:00:00,5,0.6,1.0,30.0,44.0,6.3,65.0
2004-03-12 06:00:00,6,0.8,1.8,56.0,71.0,6.8,62.9
2004-03-12 07:00:00,7,1.4,4.4,109.0,104.0,6.4,65.1
2004-03-12 08:00:00,8,4.4,17.9,307.0,141.0,7.3,63.1
2004-03-12 10:00:00,10,3.1,14.0,187.0,122.0,13.2,41.7
2004-03-12 11:00:00,11,2.7,11.6,216.0,143.0,14.3,38.4
2004-03-12 12:00:00,12,2.1,10.2,143.0,113.0,15.0,36.5
2004-03-12 13:00:00,13,2.5,11.0,160.0,116.0,16.1,34.5
2004-03-12 14:00:00,14,2.7,12.8,163.0,123.0,16.3,35.7
2004-03-12 15:00:00,15,2.9,14.2,190.0,126.0,15.8,37.0
2004-03-12 16:00:00,16,2.8,12.7,178.0,120.0,15.9,37.2
2004-03-12 17:00:00,17,2.4,11.7,150.0,119.0,16.9,34.3
2004-03-12 18:00:00,18,3.9,19.3,206.0,149.0,15.1,39.6
2004-03-12 19:00:00,19,3.7,18.2,202.0,145.0,14.4,43.4
2004-03-12 20:00:00,20,6.6,32.6,340.0,170.0,12.9,50.5
2004-03-12 21:00:00,21,4.4,20.1,274.0,149.0,12.1,53.3
2004-03-12 22:00:00,22,3.5,14.3,253.0,139.0,11.0,59.1
2004-03-12 23:00:00,23,5.4,21.8,300.0,134.0,9.7,64.6
2004-03-13 00:00:00,0,2.7,9.6,193.0,113.0,9.5,64.1
2004-03-13 01:00:00,1,1.9,7.4,139.0,97.0,9.1,63.9
2004-03-13 02:00:00,2,1.6,5.4,83.0,82.0,8.8,63.9
2004-03-13 03:00:00,3,1.7,5.4,57.66667,61.33333,7.8,67.5
2004-03-13 04:00:00,4,0.86667,6.2,109.0,83.0,7.0,71.1
2004-03-13 05:00:00,5,1.0,2.6,62.0,65.0,8.3,63.6
2004-03-13 06:00:00,6,1.2,2.9,53.0,60.0,7.2,67.5
2004-03-13 07:00:00,7,1.5,5.1,139.0,77.0,6.3,71.9
2004-03-13 08:00:00,8,2.7,11.8,256.0,96.0,6.5,71.6
2004-03-13 09:00:00,9,3.7,15.1,295.0,119.0,9.6,59.7
2004-03-13 10:00:00,10,3.2,12.9,250.0,126.0,12.4,51.2
2004-03-13 11:00:00,11,4.1,16.1,296.0,158.0,15.6,42.2
2004-03-13 12:00:00,12,3.6,14.0,239.0,161.0,18.4,33.8
2004-03-13 13:00:00,13,2.8,12.3,153.0,124.0,19.4,31.3
2004-03-13 14:00:00,14,2.0,8.6,118.0,102.0,18.0,34.8
2004-03-13 15:00:00,15,2.0,9.2,119.0,116.0,18.4,33.6
2004-03-13 16:00:00,16,2.5,10.2,138.0,124.0,17.6,35.1
2004-03-13 17:00:00,17,2.3,10.6,148.0,125.0,16.7,37.8
2004-03-13 18:00:00,18,3.2,15.5,227.0,148.0,16.1,41.0
2004-03-13 19:00:00,19,4.2,19.6,277.0,165.0,15.8,42.4
2004-03-13 20:00:00,20,4.2,19.2,279.0,161.0,15.7,44.1
2004-03-13 21:00:00,21,4.2,18.3,283.0,159.0,15.3,46.8
2004-03-13 22:00:00,22,3.1,13.1,214.0,143.0,14.6,48.6
2004-03-13 23:00:00,23,2.6,10.9,172.0,130.0,14.7,49.3
2004-03-14 00:00:00,0,2.9,11.0,190.0,129.0,13.9,53.6
2004-03-14 01:00:00,1,2.8,11.9,174.0,119.0,14.6,51.5
2004-03-14 02:00:00,2,2.5,8.6,128.0,104.0,12.5,58.9
2004-03-14 03:00:00,3,2.4,9.7,89.0,86.33333,11.6,63.4
2004-03-14 04:00:00,4,0.96667,5.2,70.0,82.0,12.1,61.1
2004-03-14 05:00:00,5,1.2,3.7,53.0,70.0,11.5,63.1
2004-03-14 06:00:00,6,1.0,2.5,44.0,63.0,11.6,62.2
2004-03-14 07:00:00,7,0.9,2.4,74.0,67.0,10.4,67.6
2004-03-14 08:00:00,8,1.4,4.2,101.0,84.0,11.6,62.7
2004-03-14 09:00:00,9,1.6,6.4,118.0,83.0,12.4,60.0
2004-03-14 10:00:00,10,2.2,8.6,144.0,98.0,14.5,53.1
2004-03-14 11:00:00,11,2.8,10.9,176.0,114.0,16.9,46.1
2004-03-14 12:00:00,12,2.8,10.7,161.0,119.0,19.3,38.3
2004-03-14 13:00:00,13,2.0,7.5,113.0,104.0,21.2,31.4
2004-03-14 14:00:00,14,1.8,7.5,103.0,102.0,21.4,30.2
2004-03-14 15:00:00,15,1.9,8.2,112.0,107.0,21.9,29.0
2004-03-14 16:00:00,16,3.0,11.9,170.0,129.0,22.2,28.4
2004-03-14 17:00:00,17,2.9,12.0,180.0,128.0,21.3,30.8
2004-03-14 18:00:00,18,2.5,12.2,160.0,121.0,19.7,36.7
2004-03-14 19:00:00,19,4.6,20.6,261.0,157.0,18.4,41.7
2004-03-14 20:00:00,20,5.9,23.1,325.0,173.0,17.6,46.1
2004-03-14 21:00:00,21,3.4,14.7,217.0,146.0,16.7,49.6
2004-03-14 22:00:00,22,2.1,9.0,146.0,121.0,16.3,51.0
2004-03-14 23:00:00,23,2.2,8.8,152.0,119.0,14.7,55.9
2004-03-15 00:00:00,0,1.8,7.4,104.0,99.0,14.8,54.7
2004-03-15 01:00:00,1,1.8,6.9,106.0,93.0,14.0,57.0
2004-03-15 02:00:00,2,1.8,7.0,108.0,88.0,13.4,61.3
2004-03-15 03:00:00,3,1.1,4.4,68.0,60.33333,12.6,63.5
2004-03-15 04:00:00,4,0.93333,4.0,66.0,71.0,12.3,65.4
2004-03-15 05:00:00,5,1.0,3.9,88.0,74.0,11.9,67.4
2004-03-15 06:00:00,6,1.4,6.4,138.0,80.0,11.4,70.5
